epoch,loss,test-acc,SA1_max,SA1_min,SA2_max,SA2_min,SB_max,SB_min
1,1.9515760548909504,34.67,6.4192773e-15,0.0123317065,6.42281e-14,0.14869021,1.2704629e-17,0.1847544
2,1.880395025730133,35.89,1.6722453e-27,0.037380822,4.1502935e-23,0.1375308,2.833804e-30,0.34222937
3,1.845921572526296,36.12,3.426479e-39,0.014178697,3.187731e-30,0.113163255,3.369742e-39,0.44830358
4,1.8218439960479735,35.53,8.49e-43,0.023788836,1.6646788e-35,0.10966633,1.253e-42,0.503847
5,1.8064480725924175,37.26,3.813e-42,0.020609992,1.29568e-40,0.10773479,2.19e-43,0.5672562
6,1.7919714369773865,37.22,3.664e-42,0.014185281,4.963e-42,0.12002065,2.54e-43,0.625702
7,1.782844278494517,37.67,2e-44,0.00851625,2.98e-42,0.12148438,9.25e-43,0.6992229
8,1.7703622976938884,37.96,1.002e-42,0.024844097,3.219e-42,0.13665675,9.01e-43,0.76771206
9,1.7620938976605733,37.66,3.677e-42,0.014104592,1.586e-42,0.14265598,6.28e-43,0.8159397
10,1.758328866481781,38.92,1.4328e-41,0.013381587,4.156e-42,0.1592446,1.306e-42,0.8428672
11,1.751392103989919,38.9,2.709e-42,0.01812946,2.8416e-40,0.17699991,6.43e-43,0.9338934
12,1.7488639426231385,39.67,2.846e-42,0.015045839,3.73794e-40,0.18760152,9e-43,0.9512406
13,1.742177010377248,39.55,2.41e-43,0.009326516,4.693398e-39,0.19409278,7e-45,0.9922412
14,1.7379914889335633,39.73,8.4e-44,0.016850168,3.7824e-41,0.21926668,1.06e-43,1.0004288
15,1.735113681793213,38.64,2.71e-42,0.012414236,1.271708e-39,0.23033698,1.306e-42,1.0094048
16,1.7338403102556865,40.17,3e-43,0.010711099,9.28625e-40,0.2688346,2.48e-43,1.0597577
17,1.728215350786845,39.53,1.132e-42,0.050882313,1.4556139e-37,0.29071745,1.306e-42,1.0739119
18,1.7234369762738546,40.28,4.3e-44,0.021649571,5.09e-43,0.31905437,3.42e-43,1.104197
19,1.719462397257487,39.78,1.132e-42,0.009175162,5.113e-42,0.33858913,1.15e-43,1.1257071
20,1.7186445275942484,40.32,8.91e-43,0.004484798,6.9165e-41,0.3568677,1.306e-42,1.1408212
21,1.7144200582504272,39.09,4.2e-44,0.015201729,3.400247e-39,0.38682535,2.1e-44,1.1561654
22,1.710435998280843,40.63,1.066e-42,0.012811223,2.0361129e-35,0.3986462,4.71e-43,1.1854545
23,1.713608854452769,39.15,1.313e-42,0.013762714,5.5732074e-34,0.4042543,2.55e-43,1.211409
24,1.7077665322621662,40.27,4.79e-42,0.010439978,5.872404e-38,0.42299524,7.92e-43,1.195213
25,1.7045203638076782,41.12,9.3e-43,0.015160853,5.399553e-37,0.43183294,1.174e-42,1.2063285
26,1.7067577799161275,39.99,4.057e-42,0.019338666,2.1255809e-33,0.44361338,1.306e-42,1.2142026
27,1.7036345280011496,38.85,2.507e-42,0.018142771,6.823506e-37,0.45456478,4.2e-43,1.2103128
28,1.7017323408126832,41.05,9.78e-43,0.011854394,5.690038e-39,0.46893615,9.61e-43,1.2281083
29,1.699707887808482,40.4,1.541e-42,0.019652817,2.4880136e-38,0.47457466,9.61e-43,1.2317252
30,1.698247399489085,39.92,3.63e-43,0.013510695,3.950314e-38,0.4859818,9.61e-43,1.2374403
31,1.6980392340024313,39.9,3.63e-43,0.032469697,3.7492825e-38,0.49846458,4.16e-43,1.2591797
32,1.6979757135709126,40.6,1.072e-42,0.006742863,5.84781e-40,0.51940423,7.8e-43,1.2633332
33,1.6952293841044108,41.08,5.76e-43,0.027419092,1.9628127e-37,0.5303868,9.61e-43,1.2856014
34,1.6920868089993795,40.46,1.372e-42,0.009668947,1.86142e-39,0.5348719,9.61e-43,1.2838907
35,1.6908515280087788,40.54,8.62e-43,0.013240985,5.2974427e-37,0.54250693,2.07e-43,1.2787057
36,1.6919000000953675,40.65,7.57e-43,0.04038898,6.1114727e-31,0.5420438,5.5e-44,1.2979432
37,1.6909307130177815,39.57,1.589e-42,0.008585958,1.4166493e-35,0.5516347,8.87e-43,1.3008242
38,1.6866795570055644,39.49,9.99e-43,0.033930637,2.4415557e-38,0.55884594,4.67e-43,1.2951454
39,1.6874423081080119,39.89,5.86e-43,0.010317514,1.0035738e-34,0.56543505,7.8e-44,1.3260078
40,1.6848269556363424,39.68,6.56e-43,0.0113198375,1.8425921e-32,0.56574863,9.61e-43,1.3409804
41,1.6860695805549621,39.91,3.73e-43,0.0148053365,1.9370393e-34,0.5776391,9.61e-43,1.3653433
42,1.686762562274933,40.54,3.025e-42,0.019922266,1.190316e-39,0.57466894,9.61e-43,1.3713379
43,1.683851842403412,40.42,6.47e-43,0.008357297,5.88136e-40,0.5797139,2.45e-43,1.3744189
44,1.6813569423357646,41.34,5.852e-42,0.01731459,3.4656e-41,0.58035326,5e-44,1.3693824
45,1.6815495862960816,40.87,5.45e-43,0.008231749,1.1002e-41,0.5965941,9.7e-44,1.3678849
46,1.681899658203125,40.56,6.393e-42,0.011977236,3.83815e-39,0.60307986,9.61e-43,1.3764073
47,1.679059713045756,40.64,1.655e-42,0.011182237,2.5715548e-38,0.6074908,9.01e-43,1.3717988
48,1.6810757161776224,40.05,2.664e-42,0.013360175,1.463244e-39,0.612299,3.05e-43,1.3840284
49,1.6757707109451294,40.23,4.51e-43,0.00898929,2.011e-42,0.6107237,9.61e-43,1.3980035
50,1.6781819774309794,40.84,1.536e-42,0.017644953,2.839e-42,0.6114273,8.7e-43,1.3962233
51,1.6766121616363525,40.29,1.317e-42,0.022499159,3.19586e-40,0.61742437,9.61e-43,1.4170581
52,1.6758491695721944,41.31,8.3e-44,0.027763287,3.1199774e-37,0.6202094,9.61e-43,1.4225552
53,1.674616999944051,41.12,3.548e-42,0.033022378,1.9011e-41,0.6176108,3.35e-43,1.4161985
54,1.6753482009569804,40.65,1.788e-42,0.022423727,3.4798e-41,0.62351984,9.61e-43,1.4183441
55,1.6727964701652527,41.54,2.47e-43,0.014585309,1.5672254e-38,0.62748575,9.61e-43,1.4305711
56,1.6743577704429626,41.7,2.47e-43,0.008745877,7.1543063e-38,0.64110184,9.61e-43,1.4177594
57,1.674215014139811,40.49,5.7e-44,0.024374992,2.1565598e-37,0.64177966,7.7e-43,1.4217217
58,1.6707653921445211,40.8,2.47e-43,0.011770826,6.328822e-36,0.639831,1.05e-43,1.4279897
59,1.6720320822397867,39.85,5.3e-44,0.022414,2.6287443e-36,0.6488325,9.61e-43,1.4115809
60,1.6687106828689575,40.95,6.75e-43,0.017771395,6.79822e-40,0.6469095,9.61e-43,1.4276166
61,1.6664313359260559,41.23,6.75e-43,0.005133666,4.1781e-41,0.65926653,9.61e-43,1.415593
62,1.66494277938207,41.63,1.45e-42,0.009979883,4.6635e-41,0.6587093,9.61e-43,1.4116224
63,1.6686393699645996,41.69,1.242e-42,0.034494556,3.98744e-40,0.6582499,9.61e-43,1.4126471
64,1.6699586464564005,40.21,6.417e-41,0.024143863,6.6967964e-37,0.66234607,1.01e-43,1.4253627
65,1.6707087551752726,40.22,4.93697e-40,0.0444522,1.9292911e-34,0.6611892,9.61e-43,1.4233191
66,1.665624742348989,41.43,2.48e-43,0.015014305,5.465653e-36,0.66416913,2.8e-44,1.4572299
67,1.6674938394228618,40.41,6.9e-43,0.007685294,3.2715236e-37,0.6589514,8.4e-44,1.4607594
68,1.6666291931470236,39.27,5.567e-42,0.012455996,6.42998e-40,0.6631457,3.5e-44,1.4425867
69,1.6634728660583495,41.11,1.57e-43,0.015234402,4.44142e-40,0.6713679,9.61e-43,1.4425848
70,1.6669470313390096,39.99,7.34e-43,0.08481341,1.093129e-39,0.6599419,9.61e-43,1.4522709
71,1.662575250943502,41.69,8.722e-42,0.022346338,8.65e-43,0.667359,9.61e-43,1.4398167
72,1.6651168570518493,41.22,4.624e-42,0.01647402,8.65e-43,0.6684257,8.73e-43,1.4464681
73,1.6655225048065185,40.63,9.14e-43,0.016408084,8.65e-43,0.6630126,9.61e-43,1.4445654
74,1.6630243233044941,41.38,3.824e-42,0.016696535,1.95586e-40,0.6783822,5e-44,1.448624
75,1.6655924784342448,40.79,8.17e-43,0.03556732,1.5353731e-37,0.67546815,9.61e-43,1.4553353
76,1.6621599225997925,41.25,1.22e-43,0.018144581,4.720923e-38,0.6739286,2.8e-44,1.4459056
77,1.6639836656252542,41.4,3.01e-43,0.01828433,2.6855e-40,0.6827187,2e-44,1.457652
